8969	10357
39913	39914
42886	42937
51665	51666
16403	69745
74006	74007
15440	133349
248010	248011
250700	250701
66378	253087
248929	263098
286023	286068
296194	296198
315811	315817
250661	321482
252486	321573
368784	370245
130016	373588
3300	373593
128871	373899
367104	373986
7962	374083
374754	381827
373875	389633
395166	395167
406354	420526
397048	423165
390984	425751
10388	427577
432576	444369
6799	450059
434090	461824
467620	467784
414695	468052
132402	468114
8200	487648
476332	494125
434082	499776
506700	507812
451458	510709
429144	521585
451965	521597
498733	521605
498443	523014
9442	523030
390706	533198
467975	533566
373919	536079
429698	537943
447855	539587
533519	542957
32960	548539
463916	549518
12289	549529
330239	549535
12884	549563
338091	549565
10262	551904
442015	551923
447142	553710
429025	556411
432791	557505
549587	571207
479238	582371
470402	583314
599602	599605
512972	601656
516740	602091
614070	614071
466732	637004
641234	641235
642000	647808
642037	647810
557254	649440
619456	666256
632271	668632
433818	675100
642961	676063
682753	682758
13073	692079
701010	701283
679037	706184
397388	707160
613174	709169
128071	710328
522988	720437
481306	725871
704463	728831
688557	730151
733761	733763
394393	735891
729844	736247
498540	737434
694651	737654
590049	738185
568658	741139
16720	742924
499127	744771
447363	746394
746497	749598
9311	753449
736022	753472
731100	763292
522991	763908
2999	765244
538569	770766
710670	771622
778950	780935
542226	782883
381374	783698
425220	790894
452583	793925
650444	798646
674902	800891
409431	802858
405645	818291
5978	819135
766860	819406
646689	819685
7883	824292
735108	825176
598652	825700
727800	825908
538578	826827
712237	833850
754627	834346
427362	835016
761319	842439
348872	848799
4246	850664
427775	851144
520623	855461
396584	856342
433550	866624
775837	869886
775768	870165
866063	874216
759188	874499
457675	877061
10440	880003
354356	884893
4151	885684
759721	891132
891708	894339
1443	895945
438163	896052
759320	906141
432434	910123
772439	911180
139196	914136
562575	914435
567607	914690
394460	915032
475489	915077
669961	919069
819317	919611
816030	920188
131437	927974
438192	932666
598951	935944
677753	937463
11532	938381
495426	940002
666128	941636
937454	941655
941692	941910
331620	948372
746256	950021
897570	951884
833512	955388
959090	960011
9691	961050
648006	968365
350200	975130
431472	989154
455605	989898
771915	995065
827265	1002138
703920	1005462
458027	1005820
695122	1007213
425747	1011064
1011218	1011247
936850	1015216
1015654	1015660
616415	1017333
578883	1017338
373635	1021868
128526	1030954
453263	1033458
1023084	1033460
14555	1033628
500328	1037761
833621	1051346
999921	1059087
844276	1068007
426950	1068125
549564	1071393
727290	1080241
796848	1084156
379393	1084594
532512	1084776
468643	1086435
657167	1087456
624700	1087740
547749	1088375
520068	1088406
11532	1088526
452150	1089663
946683	1097127
515577	1098186
558535	1098583
558536	1098584
135241	1098738
489499	1098750
