1897961	LanguageExpert	7305927	oya163
3802790	taro	7305936	oya163
11763572	taro	11763584	taro
11763859	taro	11763880	taro
11764234	taro	11764235	taro
11766012	taro	11766013	taro
11846241	taro	11846245	taro
11846241	taro	11846247	taro
11861847	taro	11861850	taro
11864822	taro	11864823	taro
11885870	taro	11885871	taro
11929375	taro	11929376	taro
11929395	taro	11929397	taro
9489393	Shakyamuni	11929499	taro
11763914	taro	11929505	taro
12025875	taro	12025878	taro
9489398	Shakyamuni	12027690	taro
12049645	taro	12049646	taro
12149963	taro	12149964	taro
11756352	taro	12186380	taro
12043047	taro	12194507	taro
12199607	taro	12199608	taro
11831478	taro	12267983	taro
12295236	taro	12295237	taro
