10911783	\N	10912105	\N
10912168	\N	10912169	\N
10914215	\N	10914216	\N
10902165	\N	10922184	\N
10920028	\N	10922443	\N
10922524	\N	10933885	\N
10927110	\N	10934295	\N
10936311	\N	10936314	\N
10911753	\N	10936478	\N
10907600	\N	10938721	\N
10938834	\N	10938835	\N
10941768	\N	10941769	\N
10942077	\N	10942106	\N
10942253	\N	10942254	\N
10918259	\N	10942283	\N
10907377	\N	10942284	\N
10944947	\N	10944949	\N
10949850	\N	10949852	\N
10912172	\N	10950012	\N
10920156	\N	10950348	\N
10955408	\N	10955409	\N
10947172	\N	10955502	\N
10941899	\N	10955694	\N
10949928	\N	10955848	\N
10929995	\N	10958897	\N
10933843	\N	10959035	\N
10914221	\N	10959037	\N
10961441	\N	10961443	\N
10964453	\N	10964454	\N
10961475	\N	10965104	\N
10964782	\N	10972489	\N
10950716	\N	10972625	\N
10955343	\N	10972673	\N
10932248	\N	10975452	\N
10980689	\N	10980691	\N
10918045	\N	10988745	\N
10917447	\N	10991157	\N
10991523	\N	10991524	\N
10994599	\N	10994602	\N
10997078	\N	10997079	\N
10997265	\N	10997267	\N
10997405	\N	10997407	\N
10997719	\N	10997720	\N
10939051	\N	10997737	\N
10983821	\N	11000705	\N
10929440	\N	11000779	\N
11003714	\N	11003716	\N
10982865	\N	11003729	\N
11004037	\N	11004052	\N
10931587	\N	11006570	\N
11003853	\N	11006625	\N
11007310	\N	11007312	\N
10920502	\N	11007328	\N
10926561	\N	11009727	\N
10986007	\N	11009915	\N
10975199	\N	11015702	\N
10921917	\N	11016041	\N
10917717	\N	11016186	\N
10955626	\N	11016507	\N
10924787	\N	11019200	\N
11015897	\N	11025199	\N
10961453	\N	11026015	\N
