300000	+0	1	+	6171982	Rav
અ	+0	2	+	3238181	Rav
અક	+0	1	+	5688549	Rav
અઘર	+0	1	+	6171987	Rav
અજય	+0	1	+	3341723	Rav
અઠવ	+0	1	+	6171971	Rav
અત	+0	2	+	6171279	Rav
અદ	+0	1	+	5683574	Rav
અદભ	+0	2	+	5683501	Rav
અન	+0	7	+	2047560	smettems
અભ	+0	1	+	5683492	Rav
અમ	+0	3	+	6171311	Rav
અમદ	+0	1	+	3244338	Rav
અર	+0	1	+	6171297	Rav
અલજ	+0	1	+	3238338	Rav
અહ	+0	1	+	6171985	Rav
આ	+0	4	+	6171258	Rav
આક	+0	1	+	3570664	deejeypatel
આગળ	+0	1	+	3570684	deejeypatel
આજ	+0	3	+	6171971	Rav
આઠ	+0	2	+	3238178	Rav
આધ	+0	3	+	6171300	Rav
આપ	+0	4	+	6171981	Rav
આફ	+0	1	+	3238338	Rav
આભ	+0	2	+	5721807	Rav
આમ	+0	1	+	6171300	Rav
આળશ	+0	1	+	6171984	Rav
આવ	+0	2	+	5683550	Rav
આવજ	+0	1	+	3206995	Rav
આવત	+0	1	+	5683581	Rav
ઇઠ	+0	1	+	3242698	Rav
ઇન	+0	1	+	5688485	Rav
ઈ	+0	7	+	6171297	Rav
ઈએ	+0	1	+	6171985	Rav
ઈડ	+0	1	+	5680876	Rav
ઈન	+0	3	+	6171319	Rav
ઈ-બહ	+0	1	+	6171281	Rav
ઉત	+0	2	+	3238338	Rav
ઉદજન	+0	1	+	2047560	smettems
ઉપર	+0	2	+	3570667	deejeypatel
ઉપરથ	+0	1	+	6171974	Rav
ઉમર	+0	1	+	3238184	Rav
એ	+0	5	+	6171981	Rav
એક	+0	6	+	6171987	Rav
એકદમ	+0	1	+	6171975	Rav
એકલ	+0	1	+	3238157	Rav
એટલ	+0	3	+	6171292	Rav
એન	+0	1	+	3242684	Rav
એવ	+0	1	+	6172008	Rav
ઓ	+0	5	+	3268773	Rav
ઓક	+0	1	+	5680876	Rav
ઓછ	+0	2	+	6171973	Rav
ઓફ	+0	1	+	3570684	deejeypatel
ઓહ	+0	1	+	5683494	Rav
ક	+0	45	+	5688549	Rav
કન	+0	1	+	3238163	Rav
કય	+0	1	+	5683550	Rav
કર	+0	15	+	3185636	Rav
કરણ	+0	1	+	5683599	Rav
કરત	+0	1	+	6171311	Rav
કરવ	+0	3	+	6171275	Rav
