32	0x20	 	3735927	4059116	fra	« Oh. Vous êtes vivantes ? » « Oui. Où est tout le monde ? » « J’sais pas. »	Danquebec	2015-04-10 22:37:09	2015-04-10 22:37:09
33	0x21	!	29620	1848502	fra	Je suis désolé de t'avoir dérangée !	sacredceltic	2012-09-17 23:34:35	2012-09-17 23:34:35
34	0x22	"	2155	1084839	fra	Lorsqu'un utilisateur de Microsoft t'envoie un mél dans le texte duquel quelques "J" se retrouvent plantés, alors la plupart du temps cela signifie simplement qu'il essaie de te sourire.	manuk7	2011-09-05 23:34:42	2011-09-06 15:36:57
35	0x23	#	2	1617486	fra	Le C# est pareil au Java.	sacredceltic	2012-06-09 21:23:37	2012-06-09 21:23:37
36	0x24	$	28	389548	fra	Nous avons fixé le prix à 15$.	trotter	2010-05-16 15:57:28	2010-05-16 15:57:28
37	0x25	%	151	7547130	fra	La pire des maladies c'est la vie, parce que dans 100 % des cas on en meurt.	HaleBopp	2018-12-01 08:25:50	2018-12-01 08:25:50
38	0x26	&	7	135723	fra	Le signe « & » signifie « et ».	Aiji	\N	2016-09-23 07:18:46
39	0x27	'	284136	9767738	fra	N'aie pas l'air si triste.	lbdx	2021-02-16 06:25:20	2021-02-16 06:25:20
40	0x28	(	309	8756339	fra	J'avais un collègue de travail au lycée, Syrien et d'origine kabyle, de Ruḍa (At Mlikech-Tazmalt).	Talwit	2020-05-12 11:26:27	2020-05-12 11:26:51
41	0x29	)	316	10372593	fra	Je viens de voir la reproduction d'une partie de Go, jouée sur une table de 13 x 13. Il y a eu 129 coups (65 P, 64 B), avec 13 captures par le Noir et 12 par le Blanc. Les noirs ont gagné 20 à 16.	carlosalberto	2021-10-19 10:32:47	2021-10-19 10:32:47
42	0x2a	*	4	1511858	fra	*Tant va Perruche à l'eau / Qu'à la fin, elle se noie.	Rovo	2012-04-01 10:58:29	2012-04-01 10:58:29
43	0x2b	+	40	708095	fra	Les erreurs de segmentation causent chaque année la mort subite et violente de nombreux développeurs de C++.	Aiji	2011-01-12 00:02:57	2018-06-25 13:48:43
44	0x2c	,	94599	8862	fra	Une baleine est un mammifère ; autrement dit, elle allaite ses petits.	Petro1	\N	2012-11-28 10:04:57
45	0x2d	-	100262	1153298	fra	Aidez-le autant que vous pouvez.	sacredceltic	2011-10-05 16:38:36	2011-10-05 16:38:36
46	0x2e	.	492973	372130	fra	Je vais nager une fois par semaine.	nimfeo	2010-03-13 16:01:03	2014-10-05 00:19:20
47	0x2f	/	2373	7151903	fra	Docile au sage avis du divin interprète, / Anchise ordonne alors que la flotte s'apprête, / qu'on rattache la voile, et qu'aux vents fortunés / ses plis prêts à s'ouvrir flottent abandonnés. / Hélénus en ces mots honore sa vieillesse : / " Mortel chéri des dieux, époux d'une déesse, / qui deux fois échappas aux malheurs d'Ilion, / cette Ausonie, objet de ton ambition, / d'ici ton œil la voit, ton espoir la possède ; / mais, pour atteindre au lieu que le destin te cède, / il faut raser ses bords, et par de longs chemins, / voyageur patient, gagner ces champs lointains. / Adieu, vieillard heureux, encor plus heureux père ! / Adieu : déjà l'autan, de son souffle prospère, / sur une mer propice appelle vos vaisseaux. / Adieu : mes souvenirs vous suivront sur les eaux. "	carlosalberto	2018-09-13 18:52:23	2018-09-14 21:00:32
48	0x30	0	3205	1158140	fra	Le sommet de la montagne est de 2000 mètres au dessus du niveau de la mer.	Wittydev	2011-10-06 22:10:49	2011-10-06 22:10:49
49	0x31	1	2535	9763427	fra	L'audience est ajournée jusqu'au 1er mars à 15 heures.	Micsmithel	2021-02-14 16:35:39	2021-02-14 16:35:39
50	0x32	2	1600	12305	fra	On se voit à 2 heures cet après-midi.	csabus	\N	2015-01-19 13:25:28
51	0x33	3	1056	11271626	fra	« Marie s'est déjà rendue à la boutique. » « À quelle heure ouvre-t-elle ? » « 8 h 30. Les premiers clients font déjà la queue dehors à ce moment-là. »	Micsmithel	2022-11-27 14:36:05	2022-11-27 14:36:05
52	0x34	4	679	6069286	fra	Je dois être là-bas à 14 h 30.	Aiji	2017-05-11 00:50:45	2017-07-04 03:24:08
53	0x35	5	920	8364798	fra	Madame, Monsieur, votre attention s'il vous plaît. Suite à un accident grave de personne, le TGV numéro 9876, à destination de Strasbourg, départ initialement prévu à 14 h 15, arrivera avec un retard de 1 heure 45 minutes environ.	Aiji	2019-12-05 00:28:31	2019-12-05 00:28:31
54	0x36	6	574	10556198	fra	Le médecin s’est absenté, il revient dès cet après-midi à partir de 16 h.	Igider	2021-12-11 09:43:18	2021-12-12 10:43:26
55	0x37	7	475	7701673	fra	Cette maison a été construite en 1870.	Maxence	2019-01-06 19:52:19	2019-01-06 19:52:19
56	0x38	8	639	3120438	fra	La marche arrive à Paris en 1983.	Aiji	2014-03-23 22:10:01	2019-11-15 09:44:42
57	0x39	9	1016	3083109	fra	Je viens de recevoir une lettre datée du 9.	fouafouadougou	2014-03-08 10:18:56	2014-03-08 10:18:56
58	0x3a	:	2594	9154158	fra	Il l'a ramolli : c'est ce qu'on dit, parlant de quelqu'un qui a attendri un aliment.	AmarMecheri	2020-10-17 11:49:07	2022-08-13 23:16:30
59	0x3b	;	2423	10704574	fra	Je fuis un homme que j’aime, mais avant toute chose je suis Romaine et bonne catholique. Or, cet homme perdrait mon âme si je restais plus longtemps avec lui ; c’est un athée et un nécromancien, que Dieu vient d’avertir par la voix de son tonnerre.	carlosalberto	2022-03-05 19:42:47	2023-08-24 16:56:56
60	0x3c	<	20	478622	fra	Envoyez-nous votre CV détaillé à <courriel>.	sacredceltic	2010-08-25 09:36:43	2010-08-25 09:36:43
61	0x3d	=	19	12197792	fra	Algèbre élémentaire : a) soit x le nombre de phrases en galicien ; b) soit x + 700 le nombre de phrases en roumain ; c) aujourd'hui, x + 700 = 2x ; d) quelle est la valeur de x ? Solution : 2x = x + 700 ➜ 2x - x = 700 ➜ x = 700. Conclusion : il existe aujourd'hui 700 phrases en galicien et 1 400 phrases en roumain.	carlosalberto	2023-12-06 19:29:48	2023-12-06 19:29:48
62	0x3e	>	20	1160210	fra	Ici, vous avez traduit à partir de la phrase en < langue que vous avez traduite > et avez créé un lien avec celle-ci. Je pense que c'est la phrase < langue que vous voulez traduire > que vous vouliez traduire. Pour ce faire, vous devez d'abord cliquer sur la phrase < langue que vous voulez traduire > avant d'appuyer sur le bouton de traduction. La phrase que vous traduisez doit TOUJOURS se situer en haut de la pile (dans la police de caractères la plus grande) et c'est la seule visible au moment où vous rédigez votre traduction, et ceci est fait exprès pour ne pas influencer votre traduction, car dans Tatoeba, les phrases se relient 2 à 2, pas en bloc, puisqu'une phrase peut avoir plusieurs traductions différentes dans la même langue !	sacredceltic	2011-10-07 17:41:03	2011-10-14 16:19:52
63	0x3f	?	82753	6716596	fra	Pourquoi ne m'avez-vous pas dit la vérité ?	Aiji	2018-02-27 06:26:40	2018-02-27 06:26:45
64	0x40	@	7	7699764	fra	Mon adresse électronique est hans@karlolo.net.	Maxence	2019-01-06 13:43:28	2019-01-06 13:43:28
65	0x41	A	24181	3273880	fra	Aurélie a plusieurs défauts. Elle est paresseuse et bavarde.	nimfeo	2014-05-23 18:58:30	2014-11-06 18:13:13
66	0x42	B	7077	6756223	fra	Bois de l'eau.	GB3	2018-03-09 18:00:08	2018-03-09 18:00:08
67	0x43	C	52130	364427	fra	Cette coutume a commencé durant l'ère Edo.	Corvus	2010-02-15 11:15:16	2010-02-15 11:15:16
68	0x44	D	15295	10709933	fra	Des centaines de personnes ont perdu leurs gagne-pain.	lbdx	2022-03-09 08:13:56	2022-03-09 08:13:56
69	0x45	E	43409	1152613	fra	Elle prit soin de mon chien.	Shishir	2011-10-05 08:59:40	2011-10-05 08:59:40
70	0x46	F	5250	1367534	fra	Fumer est interdit dans le train.	sacredceltic	2012-01-17 20:27:00	2012-01-17 20:27:00
